Reference,Quantity,Value,Description,Manufacturer,Part Number,Supplier,Supplier P/N,Unit Price,Extended Price
C23,1,33nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813333104,Mouser,594-MKT1813333104,$0.50,$0.50
C24,1,47nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813447104,Mouser,594-MKT1813447104,$0.50,$0.50
J_IN,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_OUT,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_CUT_SEL_RET,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch",Phoenix Contact,1757022,Mouser,651-1757022,$1.00,$1.00
J_CUT_LVL,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_GND,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
PCB,1,N/A,"PCB, 2-layer, custom size",TBD,TBD,TBD,TBD,$5.00,$5.00
,,,,,,,Total:,$9.75
